,country,lat,lon
136,kw,47.5906041080513,29.3412115743027
137,tm,59.3843773120436,39.1222850315681
138,et,39.6160319910272,8.62621960079895
139,sl,-88.8665114518297,13.7368969076932
140,gi,-11.0298621655307,10.7855460398783
141,mk,21.6974757513494,41.5996826646442
142,in,78.476681027237,22.1991660760527
143,bl,28.0467875099009,53.5399976445262
144,as,-170.707833250312,-14.304405426733
145,ug,32.3862178703861,1.27996353132461
146,hk,114.16255,22.279356
147,sa,44.652426,23.384784
148,tj,71.0420037711059,38.8385084835418
149,kp,126.847799277746,40.3470993177997
150,sd,30.049948137055,13.831539138903
151,us,-97.9222112121185,39.3812661305678
152,ss,30.0548899999997,7.2653860999999
153,bf,-1.57306231994955,12.2779295146076
154,gm,-15.912854478675,13.4445255191194
