,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
266,Y9,Toluene/Kerosene,,3,H3,Flammable,26.06,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
267,Y9,Toluene/Kerosene,,3,H3,Flammable,18.74,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
268,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.36,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
269,Y42,Non-Halogenated Solvents,,3,H3,Flammable,16.62,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
270,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.46,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
271,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.4,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
272,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.0,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
273,Y42,Non-Halogenated Solvents,,3,H3,Flammable,19.86,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
274,Y42,Non-Halogenated Solvents,,3,H3,Flammable,18.19,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
275,Y42,Non-Halogenated Solvents,,3,H3,Flammable,18.94,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
276,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.46,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
277,Y42,Non-Halogenated Solvents,,3,H3,Flammable,21.52,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
278,Y42,Non-Halogenated Solvents,,3,H3,Flammable,18.2,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
279,Y42,Non-Halogenated Solvents,,3,H3,Flammable,21.2,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
280,Y42,Non-Halogenated Solvents,,3,H3,Flammable,15.84,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
281,Y42,Non-Halogenated Solvents,,3,H3,Flammable,18.9,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
282,Y42,Non-Halogenated Solvents,,3,H3,Flammable,16.9,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
283,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.26,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
284,Y42,Non-Halogenated Solvents,,3,H3,Flammable,18.24,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
285,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.1,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
286,Y42,Non-Halogenated Solvents,,3,H3,Flammable,23.08,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
287,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.22,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
288,Y42,Non-Halogenated Solvents,,3,H3,Flammable,20.96,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
289,Y42,Non-Halogenated Solvents,,3,H3,Flammable,17.18,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
290,Y42,Non-Halogenated Solvents,,3,H3,Flammable,16.12,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
291,Y42,Non-Halogenated Solvents,,3,H3,Flammable,16.22,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
292,Y42,Non-Halogenated Solvents,,3,H3,Flammable,20.36,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
293,Y42,Non-Halogenated Solvents,,3,H3,Flammable,19.72,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
294,Y42,Non-Halogenated Solvents,,3,H3,Flammable,22.0,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
295,Y42,Non-Halogenated Solvents,,3,H3,Flammable,16.58,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
296,Y42,Non-Halogenated Solvents,,3,H3,Flammable,19.66,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
297,Y42,Non-Halogenated Solvents,,3,H3,Flammable,22.0,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
298,Y42,Non-Halogenated Solvents,,3,H3,Flammable,20.86,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
